date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2023-04-04,4,490.5493473614766,478.186535764376,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-05,4,490.55140036164477,470.2889200561011,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-06,4,490.54862091950844,477.05890603085567,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-07,4,490.5489197666377,468.97194950911654,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-08,4,490.5496021117045,466.6199158485275,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-09,4,490.5511531325607,455.42776998597486,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-10,4,490.5489432031357,457.1192145862554,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-11,4,490.5483918267825,468.59326788218806,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-12,4,490.54781598997334,474.9887798036467,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-13,4,490.5475769372988,482.0448807854139,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-14,4,490.54782810160253,482.98316970547,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-15,4,490.54894643738345,476.58765778401136,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-16,4,490.55093139094583,476.12061711079957,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-17,4,490.55113696855955,469.53576437587674,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-18,4,490.55302090390535,478.2833099579244,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-19,4,490.5554421128424,482.326788218794,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-20,4,490.55720641019553,481.57363253856954,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-21,4,490.55580601272635,469.15708274894826,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-22,4,490.5559670978937,465.67741935483883,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-23,4,490.5547990322736,471.6058906030857,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-24,4,490.5535156164208,477.15147265077155,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-25,4,490.553068838844,475.93127629733533,490.57534028378853,470.55708274894823,490.5522540489171
2023-04-26,4,490.5561167176636,467.93688639551203,490.57534028378853,470.55708274894823,490.5522540489171
