date,month,pred_d,true_d,pred_m,true_m,pred_m_from_d
2024-03-31,3,599.6341627609188,570.3091009681881,599.7649082946295,606.7587551867219,599.6924765218512
2024-04-01,4,611.3827560465129,627.2745535714287,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-02,4,611.3779044564419,631.1575255102042,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-03,4,611.3726855114055,624.8466198979593,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-04,4,611.3685009677926,608.3427933673471,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-05,4,611.3654286143179,609.435267857143,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-06,4,611.3667769001172,622.6626275510205,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-07,4,611.3614153429475,635.7684948979593,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-08,4,611.359801205685,639.4094387755104,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-09,4,611.362210162004,630.0650510204083,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-10,4,611.3640399147256,623.5121173469389,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-11,4,611.3652513570373,602.3963647959184,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-12,4,611.3682604501407,590.201211734694,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-13,4,611.3739587676605,578.0051020408164,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-14,4,611.3833321665671,594.7519132653063,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-15,4,611.3902262620882,587.7130102040818,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-16,4,611.3938297997878,599.9693877551022,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-17,4,611.3981079234998,608.4642857142858,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-18,4,611.401822032873,585.6495535714287,611.5167009003521,604.0370535714287,611.3994707469169
2024-04-19,4,611.4059481228221,591.8389668367348,611.5167009003521,604.0370535714287,611.3994707469169
